Checked at 2024-05-08 07:36:52.609585, found 47 new entries.
Checked at 2024-05-09 14:06:49.497774, found 0 new entries.
Checked at 2024-05-09 14:36:49.498525, found 0 new entries.
Checked at 2024-05-09 15:06:49.498649, found 0 new entries.
Checked at 2024-05-09 15:36:49.500093, found 0 new entries.
Checked at 2024-05-09 16:06:49.498817, found 0 new entries.
Checked at 2024-05-09 16:36:49.498474, found 0 new entries.
Checked at 2024-05-09 17:06:49.498403, found 0 new entries.
Checked at 2024-05-09 17:36:49.498129, found 0 new entries.
Checked at 2024-05-09 18:06:49.498891, found 0 new entries.
Checked at 2024-05-09 18:36:49.498460, found 0 new entries.
Checked at 2024-05-09 19:06:49.498762, found 0 new entries.
Checked at 2024-05-09 19:36:49.498291, found 0 new entries.
Checked at 2024-05-09 20:06:49.498286, found 0 new entries.
Checked at 2024-05-09 20:36:49.499491, found 0 new entries.
Checked at 2024-05-09 21:06:52.041161, found 1 new entries.
Checked at 2024-05-09 21:36:49.498649, found 0 new entries.
Checked at 2024-05-09 22:06:49.498385, found 0 new entries.
Checked at 2024-05-09 22:36:49.498071, found 0 new entries.
Checked at 2024-05-09 23:06:49.498442, found 0 new entries.
Checked at 2024-05-09 23:36:49.498660, found 0 new entries.
Checked at 2024-05-10 00:06:49.498971, found 0 new entries.
Checked at 2024-05-10 00:36:49.498565, found 0 new entries.
Checked at 2024-05-10 01:06:49.498524, found 0 new entries.
Checked at 2024-05-10 01:36:49.499537, found 0 new entries.
Checked at 2024-05-10 02:06:49.498090, found 0 new entries.
Checked at 2024-05-10 02:36:49.498505, found 0 new entries.
Checked at 2024-05-10 03:06:49.497390, found 0 new entries.
Checked at 2024-05-10 03:36:49.499369, found 0 new entries.
Checked at 2024-05-10 04:06:49.498551, found 0 new entries.
Checked at 2024-05-10 04:36:49.499007, found 0 new entries.
Checked at 2024-05-10 05:06:49.498839, found 0 new entries.
Checked at 2024-05-10 05:36:52.324963, found 8 new entries.
Checked at 2024-05-10 06:06:49.498777, found 0 new entries.
Checked at 2024-05-10 06:36:49.500297, found 0 new entries.
Checked at 2024-05-10 07:06:49.499083, found 0 new entries.
Checked at 2024-05-10 07:36:49.498726, found 0 new entries.
Checked at 2024-05-10 08:06:49.498867, found 0 new entries.
Checked at 2024-05-10 08:36:49.498280, found 0 new entries.
Checked at 2024-05-10 09:06:49.499066, found 0 new entries.
Checked at 2024-05-10 09:36:49.499025, found 0 new entries.
Checked at 2024-05-10 10:06:49.498450, found 0 new entries.
Checked at 2024-05-10 10:36:49.499459, found 0 new entries.
Checked at 2024-05-10 11:06:49.498871, found 0 new entries.
Checked at 2024-05-10 11:36:49.499329, found 0 new entries.
Checked at 2024-05-10 12:06:49.499022, found 0 new entries.
Checked at 2024-05-10 12:36:49.498458, found 0 new entries.
Checked at 2024-05-10 13:06:49.498693, found 0 new entries.
Checked at 2024-05-10 13:36:49.498633, found 0 new entries.
Checked at 2024-05-10 14:06:49.499548, found 0 new entries.
Checked at 2024-05-10 14:36:49.499054, found 0 new entries.
Checked at 2024-05-10 15:06:49.498831, found 0 new entries.
Checked at 2024-05-10 15:36:49.498401, found 0 new entries.
Checked at 2024-05-10 16:06:49.498948, found 0 new entries.
Checked at 2024-05-10 16:36:49.498977, found 0 new entries.
Checked at 2024-05-10 17:06:49.499200, found 0 new entries.
Checked at 2024-05-10 17:36:49.499393, found 0 new entries.
Checked at 2024-05-10 18:06:49.498781, found 0 new entries.
Checked at 2024-05-10 18:36:49.498701, found 0 new entries.
Checked at 2024-05-10 19:06:49.498099, found 0 new entries.
Checked at 2024-05-10 19:36:49.498500, found 0 new entries.
Checked at 2024-05-10 20:06:52.043068, found 3 new entries.
Checked at 2024-05-10 20:36:49.499174, found 0 new entries.
Checked at 2024-05-10 21:06:49.498816, found 0 new entries.
Checked at 2024-05-10 21:36:49.499887, found 0 new entries.
Checked at 2024-05-10 22:06:49.498440, found 0 new entries.
Checked at 2024-05-10 22:36:49.498707, found 0 new entries.
Checked at 2024-05-10 23:06:49.500327, found 0 new entries.
Checked at 2024-05-10 23:36:49.497606, found 0 new entries.
Checked at 2024-05-11 00:06:49.498167, found 0 new entries.
Checked at 2024-05-11 00:36:49.498324, found 0 new entries.
Checked at 2024-05-11 01:06:49.498368, found 0 new entries.
Checked at 2024-05-11 01:36:49.499378, found 0 new entries.
Checked at 2024-05-11 02:06:49.498899, found 0 new entries.
Checked at 2024-05-11 02:36:49.498827, found 0 new entries.
Checked at 2024-05-11 03:06:49.498373, found 0 new entries.
Checked at 2024-05-11 03:36:49.497482, found 0 new entries.
Checked at 2024-05-11 04:06:49.497991, found 0 new entries.
Checked at 2024-05-11 04:36:49.498870, found 0 new entries.
Checked at 2024-05-11 05:06:49.498343, found 0 new entries.
Checked at 2024-05-11 05:36:49.497807, found 0 new entries.
Checked at 2024-05-11 06:06:49.498547, found 0 new entries.
Checked at 2024-05-11 06:36:49.498800, found 0 new entries.
Checked at 2024-05-11 07:06:49.498359, found 0 new entries.
Checked at 2024-05-11 07:36:49.498767, found 0 new entries.
Checked at 2024-05-11 08:06:52.287513, found 9 new entries.
Checked at 2024-05-11 08:36:49.498928, found 0 new entries.
Checked at 2024-05-11 09:06:49.498728, found 0 new entries.
Checked at 2024-05-11 09:36:49.498605, found 0 new entries.
Checked at 2024-05-11 10:06:49.499360, found 0 new entries.
Checked at 2024-05-11 10:36:49.500007, found 0 new entries.
Checked at 2024-05-11 11:06:49.498616, found 0 new entries.
Checked at 2024-05-11 11:36:49.498446, found 0 new entries.
Checked at 2024-05-11 12:06:49.499327, found 0 new entries.
Checked at 2024-05-11 12:36:49.498594, found 0 new entries.
Checked at 2024-05-11 13:06:49.498488, found 0 new entries.
Checked at 2024-05-11 13:36:49.498547, found 0 new entries.
Checked at 2024-05-11 14:06:49.498875, found 0 new entries.
Checked at 2024-05-11 14:36:49.498341, found 0 new entries.
Checked at 2024-05-11 15:06:49.498397, found 0 new entries.
Checked at 2024-05-11 15:36:49.500075, found 0 new entries.
Checked at 2024-05-11 16:06:49.498503, found 0 new entries.
Checked at 2024-05-11 16:36:49.497874, found 0 new entries.
Checked at 2024-05-11 17:06:49.498011, found 0 new entries.
Checked at 2024-05-11 17:36:49.499173, found 0 new entries.
Checked at 2024-05-11 18:06:49.499270, found 0 new entries.
Checked at 2024-05-11 18:36:49.497826, found 0 new entries.
Checked at 2024-05-11 19:06:49.498312, found 0 new entries.
Checked at 2024-05-11 19:36:49.498427, found 0 new entries.
Checked at 2024-05-11 20:06:49.497258, found 0 new entries.
Checked at 2024-05-11 20:36:49.498327, found 0 new entries.
Checked at 2024-05-11 21:06:49.499005, found 0 new entries.
Checked at 2024-05-11 21:36:49.498538, found 0 new entries.
Checked at 2024-05-11 22:06:49.498501, found 0 new entries.
Checked at 2024-05-11 22:36:49.498342, found 0 new entries.
Checked at 2024-05-11 23:06:49.498053, found 0 new entries.
Checked at 2024-05-11 23:36:49.499182, found 0 new entries.
Checked at 2024-05-12 00:06:49.499797, found 0 new entries.
Checked at 2024-05-12 00:36:49.498351, found 0 new entries.
Checked at 2024-05-12 01:06:49.498501, found 0 new entries.
Checked at 2024-05-12 01:36:49.498429, found 0 new entries.
Checked at 2024-05-12 02:06:49.498227, found 0 new entries.
Checked at 2024-05-12 02:36:49.498236, found 0 new entries.
Checked at 2024-05-12 03:06:49.498563, found 0 new entries.
Checked at 2024-05-12 03:36:49.498473, found 0 new entries.
Checked at 2024-05-12 04:06:49.498899, found 0 new entries.
Checked at 2024-05-12 04:36:49.498548, found 0 new entries.
Checked at 2024-05-12 05:06:49.498904, found 0 new entries.
Checked at 2024-05-12 05:36:49.499333, found 0 new entries.
Checked at 2024-05-12 06:06:49.498278, found 0 new entries.
Checked at 2024-05-12 06:36:52.058212, found 6 new entries.
Checked at 2024-05-12 07:06:49.498343, found 0 new entries.
Checked at 2024-05-12 07:36:49.498268, found 0 new entries.
Checked at 2024-05-12 08:06:49.498334, found 0 new entries.
Checked at 2024-05-12 08:36:49.498782, found 0 new entries.
Checked at 2024-05-12 09:06:49.498153, found 0 new entries.
Checked at 2024-05-12 09:36:49.498894, found 0 new entries.
Checked at 2024-05-12 10:06:49.497566, found 0 new entries.
Checked at 2024-05-12 10:36:49.498409, found 0 new entries.
Checked at 2024-05-12 11:06:49.498028, found 0 new entries.
Checked at 2024-05-12 11:36:49.498883, found 0 new entries.
Checked at 2024-05-12 12:06:49.498752, found 0 new entries.
Checked at 2024-05-12 12:36:49.498843, found 0 new entries.
Checked at 2024-05-12 13:06:49.498799, found 0 new entries.
Checked at 2024-05-12 13:36:49.498319, found 0 new entries.
Checked at 2024-05-12 14:06:49.497999, found 0 new entries.
Checked at 2024-05-12 14:36:49.498481, found 0 new entries.
Checked at 2024-05-12 15:06:49.498256, found 0 new entries.
Checked at 2024-05-12 15:36:49.498797, found 0 new entries.
Checked at 2024-05-12 16:06:49.498426, found 0 new entries.
Checked at 2024-05-12 16:36:49.496836, found 0 new entries.
Checked at 2024-05-12 17:06:49.498422, found 0 new entries.
Checked at 2024-05-12 17:36:49.498321, found 0 new entries.
Checked at 2024-05-12 18:06:49.498567, found 0 new entries.
Checked at 2024-05-12 18:36:49.498461, found 0 new entries.
Checked at 2024-05-12 19:06:49.499751, found 0 new entries.
Checked at 2024-05-12 19:36:49.498962, found 0 new entries.
Checked at 2024-05-12 20:06:49.498380, found 0 new entries.
Checked at 2024-05-12 20:36:49.498656, found 0 new entries.
Checked at 2024-05-12 21:06:49.499170, found 0 new entries.
Checked at 2024-05-12 21:36:49.498103, found 0 new entries.
Checked at 2024-05-12 22:06:49.499101, found 0 new entries.
Checked at 2024-05-12 22:36:49.498736, found 0 new entries.
Checked at 2024-05-12 23:06:49.498587, found 0 new entries.
Checked at 2024-05-12 23:36:49.498293, found 0 new entries.
Checked at 2024-05-13 00:06:49.498607, found 0 new entries.
Checked at 2024-05-13 00:36:49.498549, found 0 new entries.
Checked at 2024-05-13 01:06:49.498673, found 0 new entries.
Checked at 2024-05-13 01:36:49.498375, found 0 new entries.
Checked at 2024-05-13 02:06:49.499421, found 0 new entries.
Checked at 2024-05-13 02:36:49.498798, found 0 new entries.
Checked at 2024-05-13 03:06:49.497896, found 0 new entries.
Checked at 2024-05-13 03:36:49.498442, found 0 new entries.
Checked at 2024-05-13 04:06:49.498399, found 0 new entries.
Checked at 2024-05-13 04:36:49.498947, found 0 new entries.
Checked at 2024-05-13 05:06:49.498160, found 0 new entries.
Checked at 2024-05-13 05:36:49.497850, found 0 new entries.
Checked at 2024-05-13 06:06:52.080968, found 9 new entries.
Checked at 2024-05-13 06:36:49.498811, found 0 new entries.
Checked at 2024-05-13 07:06:49.497851, found 0 new entries.
Checked at 2024-05-13 07:36:49.498202, found 0 new entries.
Checked at 2024-05-13 08:06:49.498988, found 0 new entries.
Checked at 2024-05-13 08:36:49.498281, found 0 new entries.
Checked at 2024-05-13 09:06:49.499431, found 0 new entries.
Checked at 2024-05-13 09:36:52.149336, found 48 new entries.
Checked at 2024-05-13 10:06:49.498568, found 0 new entries.
Checked at 2024-05-13 10:36:52.060118, found 7 new entries.
Checked at 2024-05-13 11:06:49.498831, found 0 new entries.
Checked at 2024-05-13 11:36:49.498828, found 0 new entries.
Checked at 2024-05-13 12:06:49.498789, found 0 new entries.
Checked at 2024-05-13 12:36:49.498522, found 0 new entries.
Checked at 2024-05-13 13:06:49.496924, found 0 new entries.
Checked at 2024-05-13 13:36:49.499287, found 0 new entries.
Checked at 2024-05-13 14:06:49.499082, found 0 new entries.
Checked at 2024-05-13 14:36:49.497844, found 0 new entries.
Checked at 2024-05-13 15:06:49.498527, found 0 new entries.
Checked at 2024-05-13 15:36:49.498659, found 0 new entries.
Checked at 2024-05-13 16:06:49.498609, found 0 new entries.
Checked at 2024-05-13 16:36:49.498953, found 0 new entries.
Checked at 2024-05-13 17:06:49.498814, found 0 new entries.
Checked at 2024-05-13 17:36:49.498743, found 0 new entries.
Checked at 2024-05-13 18:06:49.498363, found 0 new entries.
Checked at 2024-05-13 18:36:49.498678, found 0 new entries.
Checked at 2024-05-13 19:06:49.498682, found 0 new entries.
Checked at 2024-05-13 19:36:49.498863, found 0 new entries.
Checked at 2024-05-13 20:06:49.498332, found 0 new entries.
Checked at 2024-05-13 20:36:49.498494, found 0 new entries.
Checked at 2024-05-13 21:06:49.498085, found 0 new entries.
Checked at 2024-05-13 21:36:49.498409, found 0 new entries.
Checked at 2024-05-13 22:06:49.498715, found 0 new entries.
Checked at 2024-05-13 22:36:49.499112, found 0 new entries.
Checked at 2024-05-13 23:06:49.498759, found 0 new entries.
Checked at 2024-05-11 03:36:49.499672, found 0 new entries.
Checked at 2024-05-11 04:06:49.498736, found 0 new entries.
Checked at 2024-05-11 04:36:49.498985, found 0 new entries.
Checked at 2024-05-11 05:06:49.498359, found 0 new entries.
Checked at 2024-05-11 05:36:49.498385, found 0 new entries.
Checked at 2024-05-11 06:06:49.498877, found 0 new entries.
Checked at 2024-05-11 06:36:49.498177, found 0 new entries.
Checked at 2024-05-11 07:06:49.499255, found 0 new entries.
Checked at 2024-05-11 07:36:49.498628, found 0 new entries.
Checked at 2024-05-11 08:06:52.272762, found 9 new entries.
Checked at 2024-05-11 08:36:49.498645, found 0 new entries.
Checked at 2024-05-11 09:06:49.498666, found 0 new entries.
Checked at 2024-05-11 09:36:49.498195, found 0 new entries.
Checked at 2024-05-11 10:06:49.499705, found 0 new entries.
Checked at 2024-05-11 10:36:49.500776, found 0 new entries.
Checked at 2024-05-11 11:06:49.498865, found 0 new entries.
Checked at 2024-05-11 11:36:49.499050, found 0 new entries.
Checked at 2024-05-11 12:06:49.499735, found 0 new entries.
Checked at 2024-05-11 12:36:49.498431, found 0 new entries.
Checked at 2024-05-11 13:06:49.498599, found 0 new entries.
Checked at 2024-05-11 13:36:49.499772, found 0 new entries.
Checked at 2024-05-11 14:06:49.498863, found 0 new entries.
Checked at 2024-05-11 14:36:49.498814, found 0 new entries.
Checked at 2024-05-11 15:06:49.499012, found 0 new entries.
Checked at 2024-05-11 15:36:49.498373, found 0 new entries.
Checked at 2024-05-11 16:06:49.498877, found 0 new entries.
Checked at 2024-05-11 16:36:49.498829, found 0 new entries.
Checked at 2024-05-11 17:06:49.498487, found 0 new entries.
Checked at 2024-05-11 17:36:49.499186, found 0 new entries.
Checked at 2024-05-11 18:06:49.499287, found 0 new entries.
Checked at 2024-05-11 18:36:49.498742, found 0 new entries.
Checked at 2024-05-11 19:06:49.498674, found 0 new entries.
Checked at 2024-05-11 19:36:49.498951, found 0 new entries.
Checked at 2024-05-11 20:06:49.498465, found 0 new entries.
Checked at 2024-05-11 20:36:49.498360, found 0 new entries.
Checked at 2024-05-11 21:06:49.499898, found 0 new entries.
Checked at 2024-05-11 21:36:49.498678, found 0 new entries.
Checked at 2024-05-11 22:06:49.498754, found 0 new entries.
Checked at 2024-05-11 22:36:49.498517, found 0 new entries.
Checked at 2024-05-11 23:06:49.499551, found 0 new entries.
Checked at 2024-05-11 23:36:49.499703, found 0 new entries.
Checked at 2024-05-12 00:06:49.499518, found 0 new entries.
Checked at 2024-05-12 00:36:49.498319, found 0 new entries.
Checked at 2024-05-12 01:06:49.498874, found 0 new entries.
Checked at 2024-05-12 01:36:49.498406, found 0 new entries.
Checked at 2024-05-12 02:06:49.499183, found 0 new entries.
Checked at 2024-05-12 02:36:49.498951, found 0 new entries.
Checked at 2024-05-12 03:06:49.498595, found 0 new entries.
Checked at 2024-05-12 03:36:49.499463, found 0 new entries.
Checked at 2024-05-12 04:06:49.499764, found 0 new entries.
Checked at 2024-05-12 04:36:49.498524, found 0 new entries.
Checked at 2024-05-12 05:06:49.498980, found 0 new entries.
Checked at 2024-05-12 05:36:49.498870, found 0 new entries.
Checked at 2024-05-12 06:06:49.498431, found 0 new entries.
Checked at 2024-05-12 06:36:52.106800, found 6 new entries.
Checked at 2024-05-12 07:06:49.499007, found 0 new entries.
Checked at 2024-05-12 07:36:49.498433, found 0 new entries.
